text,origins,gender,kind
Aabraham,Finnish,Male,First
Aada,Finnish,Female,First
Aadan,Somali,Male,First
Aaden,English,Male,First
Aadolf,Finnish,Male,First
Aafje,Dutch,Female,First
Aage,Danish;Norwegian,Male,First
Aali,Arabic,Male,First
Aalis,MedievalFrench,Female,First
Aaliyah,English;Arabic;AfricanAmerican,Female,First
Aamaal,Arabic,Female,First
Aamadu,Fula,Male,First
Aamina,Somali;Arabic,Female,First
Aaminah,Arabic,Female,First
Aaminata,Fula,Female,First
'Aamir,Arabic,Male,First
Aamir,Urdu;Arabic,Male,First
Aamu,Finnish,Female,First
Aanakwad,Ojibwe,Unisex,First
Aang,PopularCulture,Male,First
Aapeli,Finnish,Male,First
Aapo,Finnish,Male,First
Aaralyn,English,Female,First
Aaren,English,Unisex,First
Aarne,Finnish;Estonian,Male,First
Aarni,Finnish,Male,First
Aaro,Estonian;Finnish,Male,First
Aäron,Dutch,Male,First
Aarón,BiblicalSpanish;Spanish,Male,First
Aaron,BiblicalLatin;BiblicalGreek;English;French;German;Jewish;Finnish;Biblical,Male,First
Aarre,Finnish,Male,First
Aart,Dutch,Male,First
Aarthi,Tamil,Female,First
Aarti,Hindi;Marathi,Female,First
Aase,Norwegian;Danish,Female,First
Aatami,Finnish,Male,First
Aatos,Finnish,Male,First
Aatto,Finnish,Male,First
Aatu,Finnish,Male,First
Aava,Finnish,Female,First
Abacuc,BiblicalLatin,Male,First
Abaddon,Biblical,Male,First
Abai,Kazakh,Male,First
Əbəlfəz,Azerbaijani,Male,First
Abayomi,Yoruba,Male,First
Abbán,OldIrish,Male,First
'Abbas,Arabic;Persian,Male,First
Abbas,Azerbaijani;Arabic;Persian;Urdu,Male,First
Abbe,Frisian,Male,First
Abbey,English,Female,First
Abbi,English,Female,First
Abbie,English,Female,First
Abbigail,English,Female,First
Abbondio,Italian,Male,First
Abby,English,Female,First
Abd al-Aziz,Arabic,Male,First
Abd al-Fattah,Arabic,Male,First
Abd al-Ghani,Arabic,Male,First
Abd al-Hadi,Arabic,Male,First
Abd al-Hakim,Arabic,Male,First
Abd al-Hamid,Arabic,Male,First
Abd al-Haqq,Arabic,Male,First
Abd al-Ilah,Arabic,Male,First
Abd al-Kader,Arabic,Male,First
Abd al-Karim,Arabic,Male,First
Abd Allah,Arabic,Male,First
Abdallah,Arabic,Male,First
Abd al-Latif,Arabic,Male,First
Abd al-Majid,Arabic,Male,First
Abd al-Malik,Arabic,Male,First
Abd al-Qadir,Arabic,Male,First
Abd al-Rahim,Arabic,Male,First
Abd al-Rahman,Arabic,Male,First
Abd al-Rashid,Arabic,Male,First
Abd al-Salam,Arabic,Male,First
Abd al-Wali,Arabic,Male,First
Abd ar-Rahim,Arabic,Male,First
Abd ar-Rahman,Arabic,Male,First
Abd ar-Rashid,Arabic,Male,First
Abd as-Salam,Arabic,Male,First
Abdastartos,Phoenician,Male,First
Abdastartus,Phoenician,Male,First
Abdel,Arabic,Male,First
Abdelaziz,Arabic,Male,First
Abdelfattah,Arabic,Male,First
Abdelghani,Arabic,Male,First
Abdelhak,Arabic,Male,First
Abdelhakim,Arabic,Male,First
Abdelhamid,Arabic,Male,First
Abdelkader,Arabic,Male,First
Abdellah,Arabic,Male,First
Abdellatif,Arabic,Male,First
Abdelmajid,Arabic,Male,First
Abderrahim,Arabic,Male,First
Abderrahmane,Arabic,Male,First
Abdeslam,Arabic,Male,First
Abdessalam,Arabic,Male,First
Abdias,Portuguese;BiblicalGreek;BiblicalLatin,Male,First
Abdiel,Biblical;BiblicalGreek,Male,First
Abdiou,BiblicalGreek,Male,First
Abdo,Arabic,Male,First
Abdolhossein,Persian,Male,First
Abdollah,Persian,Male,First
Abdolreza,Persian,Male,First
Abdou,WesternAfrican;NorthernAfrican,Male,First
Abdoul,WesternAfrican,Male,First
Abdoulaye,WesternAfrican,Male,First
Abduh,Arabic,Male,First
Abdul,Uzbek;Punjabi;Indonesian;Malay;Urdu;Arabic;Bengali;Pashto,Male,First
Abdulah,Bosnian,Male,First
Abdülaziz,Turkish,Male,First
Abdul Aziz,Arabic;Malay;Indonesian;Urdu,Male,First
Abdulaziz,Arabic,Male,First
Abdulhadi,Arabic,Male,First
Abdul Hamid,Arabic;Malay;Indonesian,Male,First
Abdülhamit,Turkish,Male,First
Abdul Haq,Arabic;Urdu,Male,First
